image_name,comment,category
3516935867.jpg,a black horse and its rider are clearing a rung high jump in a competition,horse
1957371533.jpg,a dog shaking water off,dog
442220883.jpg,the dog is holding a stuffed toy in his mouth,dog
2942133798.jpg,a brown and white dog is running with a yellow frisbee,dog
1832085044.jpg,a cat sits on a piano behind open sheet music and a glass lamp that is on,cat
3214573346.jpg,a small dog leaps across a brown pillow,dog
3192266178.jpg,a dog is jumping up at a man wearing a search and rescue jacket,dog
241109594.jpg,a dog swimming in the water with a stick in its mouth,dog
248858242.jpg,a larger brown dog is chasing a smaller gray dog on the grass,dog
3173976185.jpg,the black and white dog has its mouth wide open,dog
3540416139.jpg,the brown dog is running outside on the grass,dog
3647750811.jpg,a dog is running awkwardly,dog
297724467.jpg,a brown dog standing on a beach next to a blue frisbee,dog
2350400382.jpg,a black dog jumps in the air to catch a toy,dog
3502563726.jpg,the brown dog is on a leash and appears to be playing with the white and brown colored dog,dog
2867845624.jpg,the black and white dog is running through the ocean,dog
2438085746.jpg,a black and white dog is playing with a frisbee outside,dog
2287887341.jpg,a dog sits in a car with its tongue sticking out,dog
2707244524.jpg,a dog with blondhair and floppy ears running in a field,dog
3472364264.jpg,a large dog runs on the beach with something hanging out of its mouth,dog
179009558.jpg,a child is sitting on a bike next to her dog,dog
233242340.jpg,a dog walks down a black ramp,dog
4443087396.jpg,a cat is looking down from on top of a sign,cat
5584269779.jpg,a young woman is wearing a red shirt black pants and black shoes while riding in a saddle on a white horse,horse
2521794926.jpg,a cowboy is desperately grasping too the reigns off a horse that is trying to buck him off at a rodeo,horse
1713248099.jpg,a white and black dog,dog
2956562716.jpg,four dogs are playing in a circle and one black dog is walking away,dog
3151365121.jpg,a black and white dog walks along a sandy beach,dog
4701495336.jpg,two men on horseback watch as another man is thrown from his bucking horse,horse
3207775692.jpg,the black dog playfully bites the yellow dog near the furniture,dog
2934121315.jpg,a young dog is running across a shore,dog
6063730184.jpg,a small child perches himself of a rock on the shore of a pond with a dog close by,dog
5791244.jpg,a uniformed policeman with a dog,dog
4125992235.jpg,there is a person and a dog amongst many trees,dog
502783522.jpg,a black dog running through the forest,dog
2708744743.jpg,a woman is using frisbees to play with a dog in front of a stadium crowd and a group of baseball players,dog
1508269285.jpg,the dog stands in the water next to the grass,dog
449352117.jpg,a small dog chewing on a black strap,dog
2595186208.jpg,a black dog jumping into a lake,dog
3171250845.jpg,a dog pulling down yellow pants on a little boy in the snow,dog
3223224391.jpg,a gray shaggy dog running,dog
2363520556.jpg,a man in a blue plaid shirt walks behind people with his dog at the beach,dog
2191329761.jpg,the white dog has a blue shirt on and is behind a black dog with a rellow shirt on,dog
3608400551.jpg,the white dog jumps for an object thrown by his master,dog
2148916767.jpg,black dog jumping over a white dog in a snowy path,dog
4931289200.jpg,a woman riding a horse is chasing a cow,horse
3298573714.jpg,a girl walks her dog next to a colorful building,dog
3618525295.jpg,the dog begs for some food at a local restaurant,dog
2305437797.jpg,the dog is fetching a stick in water,dog
3416050480.jpg,an equestrian rider is on a horse jumping over a plane that is on the ground,horse
3319489465.jpg,someone in a pink shirt is riding a brown horse in a rodeo,horse
7430283024.jpg,a white horse and its rider vault over two obstacles,horse
4958466857.jpg,two homeless men dressed in gray sit against a wall with a sleeping dog on a purple leash,dog
2389107995.jpg,a black dog swimming through a river,dog
1287064529.jpg,a dog wearing a blue harness stands in the snow and pants,dog
4518796612.jpg,a senior citizen sitting on the park bench sipping on a drink and holding a sandwich in his hand with his dog looking at a ball,dog
1445754124.jpg,a gray dog climbs up a slanted tree,dog
2699733386.jpg,a black and brown dog walks in the shallows of a large body of water,dog
526746449.jpg,a little girl is getting a closeup view of a sleepy cow,cow
2896640216.jpg,a dog with a bandanna jumps through hoop,dog
477768471.jpg,the dog eyes the ball before retrieving it,dog
2206960564.jpg,the white dog ran across the tile floor,dog
3540515072.jpg,a gray dog jumps through the air over a gravel path,dog
3242919570.jpg,a thin white dog is running through snow,dog
465357550.jpg,a man and a dog walking on the beach with a surfboard,dog
295433203.jpg,a huge brown dog is about to attack a medium sized fluffy dog,dog
3276895962.jpg,a black dog and a brown and white dog running in the grass,dog
2774362575.jpg,a black and brown dog rests head on lower steps of stairs,dog
229862312.jpg,a dog rolls in the grass,dog
2219805677.jpg,a gold dog is on the beach and is looking at the tennis ball in the air,dog
430803349.jpg,a dog running through water with a white toy in its mouth,dog
171488318.jpg,a dog walks across the rocky ground,dog
34176632.jpg,a man is sleeping on the floor with a sleeping dog across his chest,dog
398413603.jpg,a small white dog stands on one leg to catch a ball,dog
3418504074.jpg,a blackandwhite dog goes for a flattened ball on the snow,dog
7282145490.jpg,a woman is riding a brown horse through the tall grass,horse
4448275682.jpg,a man in the desert is sitting on a horse which has lots of decorations,horse
262642489.jpg,closeup image of a dog swimming,dog
2295215289.jpg,happy little boy holding a white dog,dog
2403544744.jpg,a light brown dog is playing in front of two spotted cows,dog
3229898555.jpg,a white and brown cat bats at a frayed string dangling in front of him,cat
2307451605.jpg,a black dog with a red collar wading through the water,dog
872135364.jpg,a big gray dog wearing a chain collar has a smaller brown dog pinned down,dog
2244024374.jpg,a brown and a black and brown dog are playing in the water and the black one is carrying a long stick in its mouth,dog
3496028495.jpg,a brown dog swims back to shore after retrieving a yellow tennis ball,dog
451597318.jpg,a dog catches a disk in the air,dog
3723903586.jpg,a greyhound race with the lead dog wearing yellow and black stripes and the number,dog
315125146.jpg,a dog with a sleeve in its mouth of a coat a man is wearing,dog
2102581664.jpg,orange dog jumps over striped posts on course,dog
3396157719.jpg,dog with a red collar on a trampoline,dog
534886684.jpg,a man walking his dog in a crosswalk,dog
1600208439.jpg,a dog is playing in water,dog
4457365934.jpg,the dashboard of a car with a brown dog toy and a pink doll,dog
3618932839.jpg,a dog jumps over a hurdle while a person runs beside it,dog
2873837796.jpg,a dog tugs on his red leash,dog
3535284878.jpg,a white dog with a black chest piece runs along the shore of a grainy beach,dog
2552816307.jpg,a black dog and a brown and white dog are playing with a stick in the water,dog
2938349830.jpg,an asian woman is riding a horse,horse
3422146099.jpg,a light brown dog jumps over a hurdle indoors,dog
403523132.jpg,a little brown dog stares at a tennis ball on an orange carpet,dog
2402462857.jpg,a dog is standing on a footpath in front of a tree,dog
431282339.jpg,the dog is leaping over the bar,dog
2507182524.jpg,a dog is running towards a ball to catch it,dog
278007543.jpg,a dog running along the beach,dog
4913610444.jpg,an army man and his dog have a cheerful reunion,dog
3138562460.jpg,a horse runs,horse
3556390715.jpg,a white and tan dog runs along the green grass,dog
478750151.jpg,one brown and one white dog running through a field,dog
1465666502.jpg,a black dog wearing a red collar is dragging a rope though a river,dog
300922408.jpg,a black man and his dog on the beach,dog
4976310078.jpg,a man in a red shirt is sitting with his brown and white dog,dog
3646820231.jpg,a dog looking over the backs of sheep,dog
1517721825.jpg,a brown and tan dog run in the ocean,dog
267836606.jpg,a black dog in a flat field attempts to make a turn,dog
3681414069.jpg,one black and white dog sleeps while the other two black and white dogs play with a plastic bag,dog
2311690895.jpg,a person has his or her hands in a dog s mouth,dog
509778093.jpg,a orange dog playing with a white ball on green grass,dog
256085101.jpg,brown and white dog yawning,dog
3101796900.jpg,a brown dog and a black dog are playing with a red frisbee,dog
293881927.jpg,one dog confronts three others in a backyard setting,dog
2884301336.jpg,the white and black dog plays in a blue pool with a ball,dog
3019473225.jpg,a dog plays with a pine cone,dog
2632366677.jpg,the small dog is wearing a red collar and sits in the sand behind a stone object,dog
3646820231.jpg,a brown and black dog watches over a heard of animals,dog
3242919570.jpg,a white dog with red ears is running in the snow,dog
3474330484.jpg,a dog s head is tilted back,dog
1072153132.jpg,a dog leaps while chasing a tennis ball through a grassy field,dog
3613800013.jpg,a white dog with a brown patch over his eye runs through a grassy field covered in dandelions,dog
527946505.jpg,a black dog is preparing to jump off a dock into the water to fetch a ball,dog
1341787777.jpg,a brown dog slurps water from a sprinkler on the grass,dog
3454621502.jpg,a black dog leaping off the sand,dog
2344699642.jpg,a brown and white dog in the air next two a purple frisbee above grass,dog
4887607422.jpg,a cat lays on a wall with shrubbery behind him,cat
496380034.jpg,a black dog and a white dog play with each other and a green ball,dog
2637904605.jpg,a black and white dog is running through the grass,dog
411678041.jpg,a man is showing off during a parade on top of a horse with a rope,horse
2451285022.jpg,a man in a white shirt is leaning over a brown dog in an orange collar,dog
3361210233.jpg,a large brown and white dog is carrying a stick through a white and snowy area,dog
2839038702.jpg,a dog stands at the top of a mountain and looks on,dog
2864340145.jpg,a black dog walking through water,dog
2738077433.jpg,a dog climbs a hill,dog
536721406.jpg,a bull runs from an aggressive dog behind him,dog
333973142.jpg,a dog carries a large stick,dog
2926233397.jpg,the brown dog is taking a drink while wading in the water,dog
689776124.jpg,a black dog is happily running through the grass,dog
2315593294.jpg,a man is riding a bucking horse in a dirt field with trucks in the background while holding something that appears to be a riding whip,horse
2883907436.jpg,an old man and his dog are standing otuside with a cart,dog
4776967745.jpg,people in a horse driven red carriage in a city near a parked car,horse
224702242.jpg,a white dog jumps up to catch a soccer ball in landscaped grassy yard,dog
5012159302.jpg,two men are using two horse to help with farm work,horse
3188319076.jpg,large dog out in the snow,dog
3583704941.jpg,girl with helmet riding a brown horse,horse
4932067004.jpg,a small brown dog is wearing a denim skirt,dog
3265864834.jpg,a brown dog wearing a chain around its neck is shaking it head,dog
3033724533.jpg,a woman walking her dog at the lake,dog
2284894733.jpg,the brown dog is on the wooden stage with people behind it,dog
2183967273.jpg,a dog in a living room laying on a stuffed animal with a television in the background,dog
2295894587.jpg,white dog with mouth open running in the snow,dog
254475194.jpg,a black dog runs in a grassy yard while a woman dressed in green watches from in fton of a tan house,dog
489551372.jpg,the man leads his black and white dog across a blue obstacle,dog
3249278583.jpg,a dog sled with two passengers travelling through the snow,dog
8238928026.jpg,a cat is watching a girl construct a lego airplane,cat
459814265.jpg,a dog running in a field of daisies,dog
2587017287.jpg,a brown dog walks through natural water,dog
2924483864.jpg,muzzled greyhounds are racing along a dog track,dog
4747501990.jpg,a couple walking their dog,dog
3549408779.jpg,a black and white dog swims in blue water,dog
2848418175.jpg,a white horse is pulling a cart while a man stands and watches,horse
670609997.jpg,a black and white dog jumping in the air to catch a frisbee,dog
3472364264.jpg,the dog ran across the beach,dog
462198798.jpg,a black dog and its reflection are seen near a pond ringed by dry foliage,dog
3354075558.jpg,closeup image of a cat licking his front leg,cat
2186367337.jpg,a dog runs on wet sand as a man in yellow pants walks further back,dog
2259203920.jpg,little white dog wearing a leash jumping after a red ball,dog
3146232740.jpg,a blackandwhite dog carries a stick in his mouth as he swims in the clear water,dog
3501313414.jpg,a dog jumps over the fence,dog
428408242.jpg,a dog running with a frisbee,dog
486712504.jpg,a dog jumps over a red and blue hurdle,dog
230016181.jpg,woman and dog in rowboat on the water,dog
1566117559.jpg,a little white dog with long fur stands on his hind legs,dog
3340857141.jpg,a brown dog is lowering his head near a smaller white dog outdoors,dog
4932067004.jpg,a small dog wearing a denim miniskirt,dog
4625244996.jpg,a dog on a dock sits alone,dog
1095580424.jpg,a dog runs out of a tunnel on a course,dog
851566221.jpg,a woman on a horse wrangling a cow in a pen,horse
2773747725.jpg,a woman in blue standing in front of a racetrack with a saddled horse,horse
3610683688.jpg,a dog walking through the pound,dog
255330891.jpg,a man walking a dog puts his arm around the shoulder of a woman with pink pants,dog
3091912922.jpg,the brown dog is running through the grass with a yellow toy in its mouth,dog
7486904032.jpg,a man wearing black pants and a helmet is riding a brown horse,horse
2704379125.jpg,black dog following a herd of sheep down a grassy lane,dog
3154813159.jpg,the brown and white dog is standing up on its hind legs,dog
2848571082.jpg,a black and brown dog jumps in the air to catch a soccer ball,dog
516998046.jpg,a brown and tan dog is running through shallow water,dog
3621623690.jpg,an equestrian clears a jump at a horse show,horse
3053813297.jpg,a heavyset couple sitting in lawn chairs on the grass with a brown dog at their feet,dog
2089442007.jpg,a brown dog takes cautious steps in the calm waters with a sandy bottom,dog
3148647065.jpg,brown and tan dog runs through brown,dog
2699733386.jpg,a black dog wading through water,dog
1469000260.jpg,brown dog laying on gravel with grass and trees in background,dog
3187117682.jpg,a white and brown dog licks his lips during winter,dog
2656688132.jpg,the person is walking with a small black and white dog,dog
6818145388.jpg,this rodeo athlete is trying to ride this wild horse,horse
6887015851.jpg,two children sitting with a black puppy,dog
1620397000.jpg,a black and white spotted dog jumps over a stream,dog
2869765795.jpg,large brown dog walking in shallow water,dog
3507076266.jpg,the man is walking with a draft horse,horse
440165853.jpg,a man wearing a white hat is being stomped by a brown horse,horse
2808098783.jpg,a brown and white dog is licking a dog that looks very similar,dog
2713897716.jpg,a black and white dog is playing with a ball that has a tear in it,dog
2629402527.jpg,a white dog is running past a water hose and a stone bench in a yard,dog
3658016590.jpg,a brown horse jumps through its paddock,horse
333973142.jpg,a black dog carries a tree branch through the woods,dog
2320125735.jpg,the dog awaits some to kick the soccer ball so he can retrieve it,dog
2728486640.jpg,a dog catching a biscuit in its mouth,dog
4769117130.jpg,a young girl in a red shirt flinches as a black and white dog licks her cheek,dog
440166415.jpg,a person wearing a white hat is riding a horse like a bull at a rodeo,horse
2229108152.jpg,a man wearing blue jeans is walking while he leads a horse,horse
2816259113.jpg,a dog owner is running along side his pet while the pet avoids obstacles on a course,dog
3718076407.jpg,a brown and white dog retrieving a white plushie toy in a field of clover,dog
3455419642.jpg,a man blays with a black dog and a yellow ball,dog
6784757122.jpg,a jockey rides her pale and mottled horse through some jumps one of the obstacles takes the shape of a pair of oldfashioned coke bottles,horse
4887607422.jpg,white cat perched on a stone wall,cat
895502702.jpg,a black and white dog runs on a dry,dog
859620561.jpg,a dog is jumping in the air to catch an item,dog
2616673985.jpg,a woman dressed in black is striding outside on a grassy lawn with a leashed black and white dog while people in the background watch,dog
1752454466.jpg,a brown a white dog runs down a yellow and blue ramp,dog
3542771548.jpg,a horse and rider jump over a fence,horse
317109978.jpg,brown dog with white mark in chest and black collar going over a limb on ground,dog
2982928615.jpg,a tan dog leaping in a grassy field,dog
2557507575.jpg,a golden dog runs through a field of tall grass,dog
1348891916.jpg,brown dog running through shallow water,dog
2115721452.jpg,a shaggy dog hangs its paws out of a light turquoise window,dog
3618525295.jpg,people walk and sit to eat at an outside cafe where a dog is near a woman,dog
417577408.jpg,a dog is running and jumping through the woods,dog
2331510788.jpg,a large gray dog is playing in the deep snow,dog
386655611.jpg,a dog carries a very large tree branch in the snow,dog
3322200641.jpg,a black dog leaps in the air above the snow,dog
3196995975.jpg,a brown dog is carrying a stick in his mouth across an ice covered pond,dog
345684566.jpg,brown and white dog is trotting across dirt with trees in the background,dog
3036596725.jpg,a white racing dog with a muzzle is racing around the turn of a dirt track,dog
2295894587.jpg,a white dog is running through the snow,dog
3441531010.jpg,a big dog running through the water,dog
4656231658.jpg,a man walking a gray poodle is walking past a billboard with a cow on it,cow
2886411666.jpg,a dog is galloping through the grass,dog
5831085623.jpg,a young woman wearing shorts and a tshirt with blond and blue hair watches while a dog catches a frisbee,dog
2994104606.jpg,a white and brown dog is running on grass,dog
3595992258.jpg,a brown dog is running on a rock,dog
5430267989.jpg,a young lady equestrian riding a brown and white horse,horse
2886411666.jpg,a tricolored dog is running on the green grass,dog
2444339090.jpg,the white dog is running through white posts on an obstacle course,dog
2707244524.jpg,a big tan dog runs on a field filled with grass and weeds,dog
1394396709.jpg,a dog with a water pack is walking through clear green water,dog
2054869561.jpg,a black and white dog is chasing a ping frisbee,dog
411216802.jpg,two dogs playfully bite a third dog,dog
3187117682.jpg,a shaggy dog dusted with snow licks its nose,dog
4701495336.jpg,two men on horses look on as another man is bucked off the back of his horse,horse
3721404396.jpg,a little girl in a blue helmet is putting her face on a brown horse,horse
5341921763.jpg,a horse pulls a carriage behind him with lots of children in it,horse
3708266246.jpg,a black dog leaping over a hurdle,dog
2479180530.jpg,a brown dog runs on the sand carrying a stick,dog
2860400846.jpg,the dog jumps in the air running after the frisbee,dog
3333675897.jpg,a dog is running an obstacle course while a man in blue stands behind,dog
3623650392.jpg,a brown dog in a field,dog
6063730184.jpg,a young blond child wearing only a diaper sits on a large rock at the edge of a body of water while a large black dog stands in the water nearby,dog
3352577815.jpg,a young woman on a chestnut horse wrangles a steer during a rodeo,horse
345684566.jpg,there is a brown and white dog running over dirt,dog
3562816250.jpg,a woman is kayaking in a yellow kayak with her dog,dog
2241768909.jpg,a man with glasses and a woman wearing a hat that looks like a dog are outside in the snow,dog
707941195.jpg,a black dog stands on a rock,dog
3480126681.jpg,a black pitbull dog is running through the dirt,dog
2312731013.jpg,a man and a dog are sitting on the pavement are sitting by a wall,dog
3679707139.jpg,a small brown dog swims in the water,dog
3335692531.jpg,two black dogs are tugging on a red toy that is in a brown dog s mouth,dog
513269597.jpg,a black dog carries a bucket in its mouth,dog
3001612175.jpg,a young man walks his dog down some steps where a blackclad woman is sitting,dog
531152619.jpg,a brown hairy dog nibbles the ear of another dog that is baring its teeth,dog
1289352548.jpg,man walks giant odd dog while small dog poops,dog
359173181.jpg,a dog runs through snow covered ground,dog
3816820298.jpg,a man on a horse throws a lasso at a calf,horse
2860041212.jpg,a black dog standing in a field is holding a bird in his mouth,dog
2650620212.jpg,a black dog runs around an outdoor swimming pool,dog
2890075175.jpg,a tiger striped dog plays with a tire,dog
3053813297.jpg,people sit in chairs at a park with a dog,dog
2229509318.jpg,a large brown dog standing on his hind legs next to a woman,dog
2973269132.jpg,a large wild cat is pursuing a horse across a meadow,cat
3346711367.jpg,a black dog is chasing a tan and white dog on a sunny day,dog
2603690144.jpg,a group of children running with a dog down a grassy hill,dog
2666078276.jpg,the collared dog is jumping into the air,dog
3514194772.jpg,a brown dog in running on grass,dog
3511062827.jpg,a dog playing with a purple toy,dog
293881927.jpg,a dog jumps over a fence,dog
3434426931.jpg,a man wearing dark clothing and a ball cap stands next to a horse that is hauling a load of grass,horse
512031915.jpg,a black dog on a white carpet next to an orange,dog
278007543.jpg,a brindle dog runs beside some pilings in ground at the waterside,dog
369186134.jpg,two yellow dogs and a small dog walk through snow,dog
3323076458.jpg,a dog with no tail runs in the dirt,dog
506343925.jpg,a wild dog runs through the desert,dog
3353278454.jpg,the people await to cross the street while walking the dog,dog
3518675890.jpg,a light brown dog is running through tall grass,dog
2464259416.jpg,a black and brown dog and a gray poodle sticking its butt in the air on the sand,dog
505929313.jpg,a black dog standing in shallow water with a pink ball in its mouth,dog
3263741906.jpg,a dirty dog is running down a vacant road,dog
2558312618.jpg,a tan dog jumps and runs in a field,dog
2920516901.jpg,a racing dog wearing a yellow jersey with number six,dog
2857558098.jpg,a dog with a branch in its mouth,dog
4972988789.jpg,a dog with big ears in the street,dog
4089787993.jpg,a woman sits in a caged in area with a cat and two bunnies,cat
292887910.jpg,the white and brown dog runs on a field for an orange ball,dog
447722389.jpg,a dog is jumping and catching a small,dog
3048461682.jpg,a white dog jumps over a log,dog
4442319130.jpg,a man with a hat has a cat on his shoulder,cat
3400135828.jpg,a black dog jumping through high snow,dog
2789350645.jpg,a curly brown dog runs across the lawn carrying a toy in its mouth,dog
238573199.jpg,a horse and jockey jumping over a barrier,horse
4931380548.jpg,a man sitting on a horse,horse
3293596075.jpg,a black dog runs down a snowy hill with his legs deep in the snow,dog
3174713468.jpg,a woman holds a ball while a dog leaps for it,dog
5988551357.jpg,a clown lying on a horse at a circus or fair event with spectators,horse
2716369043.jpg,a guy with his skateboard skating along with his dog,dog
233361142.jpg,the black and white dog is running through the bushes,dog
3337046794.jpg,a black dog is digging in the snow,dog
2106772874.jpg,a white dog opens its mouth near a smaller dog,dog
2410040397.jpg,a dog runs through the woods,dog
7804907374.jpg,a horserider with their horse as it jumps over obstacles,horse
2583001715.jpg,a small dog jumping up to meet a yellow soccer ball,dog
386656845.jpg,a black dog and a brown dog are standing next to each other in the snow,dog
3375920709.jpg,a dog jumping in the snow at the edge of the forest,dog
2273591668.jpg,two brown dogs run side by side and one dog is carrying an orange container in its mouth,dog
6944127567.jpg,the jockey in red and blue stripes is losing the horse race,horse
1324816249.jpg,a tan dog walks along a grassy path with his long pink tongue hanging out,dog
393284934.jpg,the dog is wearing a red baseball cap,dog
3216926094.jpg,a dog runs towards the camera with a blue ball in his mouth,dog
6212276876.jpg,people are watching a jockey ride a horse,horse
106959209.jpg,a man wearing black is riding a white horse with numerous rocks around him,horse
3446586125.jpg,a dog running with a tennis ball in his mouth,dog
385452927.jpg,a woman playing with her dog on a beach,dog
2847615962.jpg,a dog rolls on a mattress placed on a porch and scratches his back,dog
285586547.jpg,a motorcycle has a sidecar with a dog wearing goggles in it,dog
226531363.jpg,a white dog running in the snow,dog
123889082.jpg,tan dog on grass with mouth open,dog
2853743795.jpg,a black and white dog jumps over a red and white pole while a boy in a green shirt watches,dog
2635483351.jpg,a dog lies on the steps outside a building,dog
3602838407.jpg,a small black dog in the ocean with some rocks in the background,dog
418796494.jpg,a small black and brown puppy is looking up,dog
3515358125.jpg,a dog with a red leash still attached chases over the grass toward a tennis ball,dog
1813597483.jpg,black dog climbs over fence in grassy area,dog
465994762.jpg,a brown dog jumps over a chain,dog
189022647.jpg,a woman leaning on an old brown car with a cat on top of the car,cat
534886684.jpg,a man is walking a dog on a leash down the street,dog
4576510103.jpg,a little girl with a kitten graphic on her shirt is riding in the saddle of a brown horse with a black mane next to a fence outside in a green field on a sunny day,horse
3514019869.jpg,a dog jumps over a hurdle in the grass,dog
474581065.jpg,a man in a sombrero on a chestnut horse is ahead of several other men on horses,horse
3076928208.jpg,the dog by the fence is running on the grass,dog
2629346153.jpg,a dog attacking a man wearing protective gear,dog
3235746553.jpg,a brown dog begins to run along a beach with a wave in the background,dog
2833560457.jpg,a lightcolored dog runs through the grass,dog
2394267183.jpg,a dog is going through a slalom style obstacle course,dog
323657582.jpg,a dog with a large stick runs across the grass,dog
2927878881.jpg,a man holds a stick up for a dog to catch while another dog looks on at the beach,dog
2935986346.jpg,the furry black dog is sitting on the grass,dog
5430267989.jpg,a woman is riding a brown and white horse,horse
3514019869.jpg,a black and brown dog jumping over two white and purple stiped poles,dog
3735158583.jpg,a woman in a blue coat and riding cap is jumping a hedge on a white horse,horse
3434426931.jpg,a man in a hat holding a tool stands next to a horse hitched to a sled filled with hay in a hilly area,horse
2364394224.jpg,a dog runs for a ball thrown by a small boy,dog
3461041826.jpg,a black and white dog is playing in a pond or creek,dog
1026685415.jpg,a wet black dog is carrying a green toy through the grass,dog
836768303.jpg,two children and a brown dog in a brown tube,dog
967719295.jpg,a tan dog jumping off of a boat into the water,dog
7259436202.jpg,a brown horse with a white mane pulls a ploy with a man sitting on it in a field,horse
2561212119.jpg,a black dog standing in the water,dog
2198964806.jpg,the brown and white dog with a green collar is biting a stick,dog
3449718979.jpg,a dog is walking down steps,dog
2727591060.jpg,a woman and a person in a dog costume are playing blackjack with an elderly dealer,dog
2848571082.jpg,a black dog jumps to catch a ball in a yard,dog
2949353587.jpg,a brown dog is playing with a white fluffy stuffed animal,dog
3552435734.jpg,a black and white dog running through shallow water,dog
2115849046.jpg,a dog is running on the grass beside a boat on the river,dog
2260537673.jpg,an older gentleman wearing an elaborate headdress holding a white dog that has had its fur dyed several colors,dog
2394267183.jpg,a dog plays with a man by running around poles,dog
1244140539.jpg,a black and brown dog is laying on a white shaggy carpet,dog
4425850083.jpg,a boy rides a horse down a dusty country road,horse
2303016989.jpg,a small black and white dog jumps with an object in its mouth,dog
534313000.jpg,a big black and white dog jumping in a body of water,dog
1713248099.jpg,black dog on grass,dog
3326376344.jpg,a black dog runs through the snow,dog
3139389284.jpg,a little white dog jumping on the ground,dog
8125199349.jpg,a small boy embraces a cat in a leave strewn road,cat
509778093.jpg,a brown and white dog chasing a ball on some grass,dog
4887607422.jpg,a white cat sits on a wall,cat
3406930103.jpg,a dog in the snow,dog
3304556387.jpg,a man is holding a treat up in the air and a dog is in midair trying to grab it while another dog watches,dog
1378557186.jpg,a man and a dog,dog
445655284.jpg,a black dog,dog
2209496328.jpg,a yellow dog swimming in the water with something red in his mouth,dog
2247138288.jpg,group of people standing on a snow covered ground there is a dog with the group,dog
458183774.jpg,a large tan dog is rolling around on its back in a yard of grass,dog
5846691766.jpg,a woman in black with white furline cat ears and cuffs performs,cat
5352158457.jpg,a girl riding a horse in a rodeo,horse
3291587911.jpg,the man wearing padded clothing is fending off an attack by a dog,dog
2495931537.jpg,a dog lays under a table being sniffed by another dog,dog
6918264972.jpg,two horse racing jockeys are racing against a blurry background,horse
42637987.jpg,a man sits on a bench in the park with a dog,dog
224702242.jpg,large white dog jumps in the air to catch a black and white soccer ball,dog
3298233193.jpg,a dog plays with a ball at the beach,dog
44856031.jpg,a dog stands on his hind feet and catches a stream of water,dog
4604364861.jpg,police officer on horse passes bicycle rider in front of white wall,horse
4274214534.jpg,a woman with a red hat is pulled by her dog on ice skates,dog
2826769554.jpg,the dog is running along the beach next to the ocean with a stick in its mouth,dog
2883907436.jpg,an old man with a large belly is next to a filled shopping cart and a dog on the street,dog
516998046.jpg,a black dog splashes through the water,dog
2687134043.jpg,a toddler with a pacifier in his mouth is in the process of getting off or getting on a playground horse,horse
3197917064.jpg,a white dog with a purple necklace on plays in the snow,dog
3442272060.jpg,a dog laying on the ground looks up at the dog standing over him,dog
3571039224.jpg,a black dog sticking its nose into the water,dog
3207654194.jpg,a dog is running across a desert with bushes around him,dog
2855727603.jpg,a large brown dog plays in the water,dog
275002371.jpg,a dog biting at its own rear,dog
2677614492.jpg,a brown and white dog jumping over a red and yellow pole,dog
244443352.jpg,a dog in the snow,dog
3436313241.jpg,a black dog on a yard of grass is catching a blue and red ball in its mouth,dog
3192266178.jpg,a man in blue with a black hat with a dog leaping at him in a parklike setting,dog
2443512473.jpg,a competition dog running between poles,dog
4930675925.jpg,a man with a plaid shirt and black hat sits on top of a white horse talking with another man wearing a black shirt and white cowboy hat sitting on a brown horse,horse
394463341.jpg,a dog owner watches their dog climb over the rocky outline of a walking path,dog
4329180364.jpg,girl holding cat stuffed animal,cat
1009692167.jpg,a policeman stops on a street with a search dog,dog
2460159430.jpg,a brown dog races through a field,dog
2196846255.jpg,a dog standing in the water,dog
1319634306.jpg,a large tan dog sits on a grassy hill,dog
4363986324.jpg,a girl is giving a dog a treat,dog
7635821790.jpg,a polo player cradles a ball while riding a horse,horse
3482974845.jpg,a white dog is following a black dog along the beach,dog
2934000107.jpg,a black dog is jumping through some water,dog
494792770.jpg,a dog runs through the long grass,dog
2629295654.jpg,a brown dog is running on grass,dog
3572872724.jpg,a soldier walking a dog with a satchel in its mouth,dog
2702506716.jpg,a dog sticking his head out from under some gray stairs,dog
4939130926.jpg,two boys on skateboards in front of a statue of a soldier on a horse,horse
3236677456.jpg,a dog jumps of a frisbee with a woman looking on,dog
7259436202.jpg,one black and one brown horse pulling a man in a white shirt on a old tractor,horse
2183967273.jpg,a small dog laying on a stuffed animal in front of a tv,dog
2315593294.jpg,a horse bucks its rider in a dusty field,horse
246094557.jpg,girl gives treat to jumping dog,dog
2363520556.jpg,an older man is walking his dog on the beach,dog
302241178.jpg,a dog picks up a stick with his mouth while treading through water,dog
2493469969.jpg,a tan dog is prancing over grass,dog
1772859261.jpg,a black and white dog plays in the water,dog
524787268.jpg,two people with a dog sitting in front of the ocean,dog
1356543628.jpg,young girl carrying camping gear and a stuffed brown dog,dog
4442319130.jpg,person wearing a black hat lets a cat sit on their shoulder,cat
371364900.jpg,a black and brown dog is jumping on blocks of concrete in the water,dog
3415178926.jpg,a man in orange pants and brown vest is playing tugofwar with a dog,dog
3490867290.jpg,an indian boy looks at a black cow whilst a woman in a blue and green sari looks away,cow
3219122000.jpg,this dog is running along the path,dog
747242766.jpg,the dog has his tongue sticking out and walking in the grass,dog
3384314832.jpg,the dog is jumping with a ball in his mouth,dog
3257277774.jpg,large black and white dog jumping in the snow,dog
